,Mes,Número Banheiros,Número Camas,Número Comentários,Número Hóspedes,Taxa,Semana_do_ano,Jacuzzi,Academia,Secadora,Localização,Piscina,Permitido animais,Preço/Noite
876,4,1,2,48,4,50.0,14,0,0,0,0.08885721073889286,0,0,285.0
877,4,2,7,50,8,0.0,14,0,0,0,0.057020669992872426,0,0,194.0
878,4,2,3,106,6,84.5,14,0,0,0,0.029698265621287717,0,0,195.0
879,3,1,1,100,2,49.5,11,0,0,0,0.010453789498693276,1,0,218.0
880,4,1,1,7,4,64.5,14,0,0,0,0.057020669992872426,0,0,356.0
881,4,1,4,39,2,50.0,13,0,0,0,0.018294131622713237,0,0,121.0
882,3,2,4,40,5,75.0,12,0,0,0,0.00688999762413875,0,0,216.0
883,4,1,4,41,4,30.0,16,0,0,0,0.04276550249465432,0,0,187.0
884,3,1,2,9,4,67.0,9,0,0,0,0.06319790924210028,0,0,181.0
885,3,1,2,16,4,60.0,9,0,0,1,0.08885721073889286,0,0,208.0
886,2,1,4,21,7,60.0,7,0,0,0,0.01069137562366358,0,1,194.0
887,3,1,2,43,4,0.0,12,0,0,0,0.01876930387265384,0,0,160.0
888,3,1,1,64,2,42.5,12,0,1,0,0.004514136374435733,1,0,99.0
889,2,2,7,30,10,42.5,7,0,0,0,0.0040389641244951285,0,0,457.0
890,3,1,3,18,4,60.0,9,0,0,0,0.02946067949631741,0,0,184.0
891,1,1,4,46,5,60.0,4,0,0,0,0.08885721073889286,1,0,343.0
892,3,1,2,81,4,60.0,10,0,0,0,0.08885721073889286,1,0,545.0
893,3,1,2,11,2,34.5,10,0,0,0,0.033499643620812536,0,0,108.0
894,2,2,3,36,5,22.0,8,0,0,0,0.0009503444998812071,0,0,209.0
895,4,1,2,29,4,59.5,15,0,0,0,0.08885721073889286,0,0,237.0
896,3,1,1,4,6,59.5,10,0,0,0,0.002138275124732716,0,0,203.0
897,2,1,1,36,4,70.0,8,0,0,0,0.015205511998099313,0,0,158.0
898,3,1,1,8,2,49.5,11,0,0,1,0.015205511998099313,0,0,99.0
899,2,1,1,96,2,75.0,7,0,1,1,0.0007127583749109052,0,0,444.0
900,3,2,3,3,8,74.5,9,0,0,0,0.015443098123069612,0,1,148.0
901,3,2,4,18,4,74.5,11,0,0,0,0.009978617248752672,0,0,223.0
902,3,1,2,9,4,39.5,10,0,0,0,0.057020669992872426,1,0,263.0
903,3,1,1,45,2,24.5,11,0,0,0,0.00546448087431694,1,0,151.0
904,3,1,1,19,3,24.5,11,0,0,0,0.033499643620812536,1,0,149.0
905,3,1,2,51,3,40.0,9,0,0,0,0.06319790924210028,0,1,107.0
906,3,1,3,36,3,40.0,12,0,0,0,0.02257068187217866,0,0,211.0
907,1,1,1,66,3,95.0,4,0,0,0,0.04276550249465432,0,0,196.0
908,4,1,2,41,4,90.0,15,0,0,0,0.033499643620812536,0,0,236.0
909,3,2,6,7,7,49.5,10,0,0,0,0.0019006889997624141,1,0,521.0
910,3,1,3,75,4,25.0,11,0,0,0,0.0035637918745545258,0,1,127.0
911,4,1,3,29,4,50.0,15,0,0,0,0.02946067949631741,0,0,201.0
912,3,1,2,71,6,30.0,10,0,0,0,0.05203136136849608,1,0,187.0
913,3,1,3,97,4,40.0,9,0,0,0,0.004989308624376337,0,0,188.0
914,3,1,1,44,2,55.0,10,0,0,0,0.02257068187217866,0,1,119.0
915,3,1,4,34,4,50.0,10,0,0,0,0.02257068187217866,1,0,258.0
916,2,2,4,7,6,39.5,8,0,0,0,0.014492753623188406,0,0,223.0
917,3,1,2,31,4,59.5,11,0,0,0,0.08885721073889286,0,0,226.0
918,4,1,2,9,4,67.0,13,0,0,0,0.06319790924210028,0,0,260.0
919,3,1,4,3,15,74.5000000000001,11,0,0,0,0.0030886196246139226,1,0,712.0
920,2,1,2,4,4,50.0,6,0,0,1,0.057020669992872426,0,0,291.0
921,2,2,9,3,6,50.0,7,0,0,0,0.0016631028747921119,0,0,183.0
922,4,2,2,137,4,45.0,13,0,0,0,0.08885721073889286,0,0,164.0
923,3,1,3,36,4,45.0,12,0,0,0,0.03183654074602043,0,1,149.0
924,2,1,2,33,4,74.5000000000001,6,0,0,0,0.06319790924210028,1,0,455.0
925,4,2,3,33,5,74.5000000000001,15,0,0,1,0.057020669992872426,0,0,314.0
926,2,1,3,75,4,25.0,8,0,0,0,0.0035637918745545258,0,1,127.0
927,2,2,2,8,4,94.5,6,0,0,0,0.06319790924210028,0,0,336.0
928,3,1,3,55,4,44.5,10,0,0,0,0.0016631028747921119,0,0,211.0
929,1,2,3,33,4,89.5,4,0,0,0,0.08885721073889286,1,0,390.0
930,3,1,1,32,5,62.0,9,0,0,0,0.0071275837491090515,1,0,241.0
931,1,1,2,3,4,60.0,4,0,0,0,0.026847232121644096,0,0,328.0
932,2,1,3,8,4,0.0,6,0,0,0,0.02257068187217866,0,0,203.0
