,ID,Check-In,Check-Out,Localização,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Vista para o mar,Piscina,Lava-louças,Wi-Fi,Café da Manhã,Máquina de Lavar,Estacionamento gratuito,Academia,Jacuzzi,Secadora,Entrada/saída para esquis,Cozinha,Vista para as águas,Permitido animais,Lareira interna,Ar-condicionado,Self check-In,Elevador,Novo preço mais baixo,Raridade,Banheiro Compartilhado
4182,39216218,2021-03-05,2021-03-07, São Vicente,3,1,1,1,4.96,52,121.0,342.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,False
1170,36237903,2021-03-26,2021-03-28,Guilhermina,4,1,3,1,4.72,36,149.0,297.0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
4115,15880419,2021-03-19,2021-03-21,Bertioga,4,1,2,1,4.57,65,365.0,730.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
3305,39446325,2021-03-05,2021-03-07,Casa inteira em Cibratel II,8,2,6,1,4.67,30,242.0,633.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
3360,31518817,2021-03-05,2021-03-07,Centro,6,1,0,1,4.62,79,137.0,274.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,False
4540,45067470,2021-03-19,2021-03-21,Parque Balneario Oasis,3,1,2,1,4.88,16,145.0,340.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,True
3488,36550628,2021-03-26,2021-03-28,Gonzaga,4,1,2,1,4.98,51,263.0,605.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
3255,24287304,2021-02-19,2021-02-21,Canto do Forte,5,1,1,1,4.8,46,170.0,340.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,False
2371,40675774,2021-04-16,2021-04-18,Gonzaga,5,1,3,1,5.0,6,183.0,525.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,False
1131,36237903,2021-03-05,2021-03-07,Guilhermina,4,1,3,1,4.72,36,149.0,297.0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
251,29573360,2021-02-12,2021-02-14,Barra Funda,8,3,8,2,4.89,53,407.0,933.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,False
2868,21845532,2021-04-09,2021-04-11,José Menino,4,1,2,1,4.91,80,161.0,422.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1912,41143618,2021-02-26,2021-02-28,Mongagua,6,1,3,1,4.89,35,155.0,399.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
4146,39499342,2021-03-05,2021-03-07,Praia Grande,4,1,3,1,5.0,18,184.0,488.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False
4843,41368215,2021-03-05,2021-03-07,Vila Assuncao,5,1,4,1,4.97,37,171.0,342.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
1797,16824874,2021-02-12,2021-02-14,Santos,8,2,5,1,4.79,71,191.0,491.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,False
4107,46033720,2021-03-12,2021-03-14,José Menino,4,1,2,1,5.0,10,181.0,496.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
3779,32407595,2021-02-26,2021-02-28,Parque Enseada,6,1,1,1,4.67,12,220.0,559.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,False
3949,46313068,2021-03-19,2021-03-21,Centerville,5,1,2,1,4.6,5,129.0,308.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,True
3398,24488673,2021-03-12,2021-03-14,Centro,5,1,2,1,4.69,61,131.0,262.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,False
5098,16911421,2021-03-26,2021-03-28,Casa inteira em Peruíbe,9,4,7,6,4.88,8,705.0,1700.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True
2545,46745761,2021-04-23,2021-04-25,Barra Funda,5,1,3,1,5.0,7,153.0,404.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,False
4857,29684686,2021-03-19,2021-03-21,Casa inteira em Peruíbe,4,1,1,1,4.94,68,237.0,593.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
