,ID,Check-In,Check-Out,Localização,titulo_2,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Plus 1,Plus 2,Plus 3,Plus 4,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Superhost
497,40884233,2021-03-05,2021-03-07,Vila Tupi,Apartamento aconchegante frente ao mar.,4,1,2,1,Wi-Fi,Cozinha,Estacionamento gratuito,Vista para o mar,4.93,43,160.0,320.0,Raridade
498,16081237,2021-03-05,2021-03-07,Guarujá,Apartamento Praia das Astúrias,6,2,7,3,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.88,34,204.0,628.0,Novo preço mais baixo
499,46281553,2021-03-05,2021-03-07,Gonzaga,Apto Gonzaga Lado Shopping Miramar 45,4,1,3,1,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,5.0,12,183.0,365.0,Raridade
500,44419309,2021-03-12,2021-03-14,José Menino,Charmoso apartamento em Santos na quadra da praia,4,1,1,1,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.84,25,171.0,342.0,Novo preço mais baixo
501,44860968,2021-03-12,2021-03-14,Centro,"Praia do Gonzaguinha, quintal de casa - SV",2,1,1,1,Wi-Fi,Self check-In,Cozinha,Estacionamento gratuito,5.0,12,108.0,285.0,Novo preço mais baixo
502,30497949,2021-03-12,2021-03-14,Aviação,Aviação apartamento com vista e excelente ambiente,6,2,2,1,Wi-Fi,Elevador,Máquina de Lavar,Cozinha,4.89,62,136.0,422.0,Raridade
503,47586746,2021-03-05,2021-03-07,Vila Auzira,Apartamento Guarujá Asturias,6,1,1,1,Self check-In,Vista para o mar,Máquina de Lavar,Ar-condicionado,5.0,4,203.0,525.0,Novo preço mais baixo
504,22469373,2021-03-05,2021-03-07,Vila Assuncao,Apto - Temporada - Praia Grande,6,1,6,1,Wi-Fi,Elevador,Self check-In,Vista para o mar,4.63,38,103.0,205.0,Novo preço mais baixo
505,47335552,2021-03-05,2021-03-07,Maitinga,Apartamento na praia do Maitinga em Bertioga,4,1,2,1,Wi-Fi,Máquina de Lavar,Cozinha,Estacionamento gratuito,4.5,6,118.0,285.0,Raridade
506,45740885,2021-03-05,2021-03-07,Ilha Porchat,"Ilha Porchat, com vista deslumbrante para o mar.",2,1,1,1,Wi-Fi,Vista para o mar,Cozinha,Estacionamento gratuito,5.0,12,293.0,685.0,Novo preço mais baixo
507,31952361,2021-03-12,2021-03-14,Centro,"Apto frente ao mar c/ playground, ar cond. e Wi-Fi",6,Estúdio,2,1,Piscina,Estacionamento gratuito,Wi-Fi,Ar-condicionado,4.59,71,187.0,434.0,Raridade
508,36550628,2021-03-26,2021-03-28,Gonzaga,Flat Estanconfor Santos - uma quadra da praia,4,1,2,1,Piscina,Estacionamento gratuito,Wi-Fi,Ar-condicionado,4.98,51,263.0,605.0,Raridade
509,41990959,2021-03-26,2021-03-28,Nova Mirim,Apto 84 pronto para oferecer o melhor pra você!,3,1,3,1,Piscina,Estacionamento gratuito,Wi-Fi,Ar-condicionado,4.94,36,211.0,502.0,Raridade
510,20590298,2021-03-05,2021-03-07,Jardim Santa Genoveva,APTO INTEIRO e confortável - Praia da Enseada.,6,2,5,1,Wi-Fi,Cozinha,Estacionamento gratuito,Elevador,4.89,85,203.0,525.0,Novo preço mais baixo
511,44642259,2021-03-05,2021-03-07,Guilhermina,"Apto c/vista pro Mar Praia Grande, 2 vagas garagem",6,2,7,3,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.96,25,248.0,616.0,Raridade
512,21475047,2021-03-05,2021-03-07,Jardim Las Palmas,Vista Para O Mar e Montanha Guarujá Praia Tombo.🏝,7,2,4,2 e meio,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.88,115,340.0,844.0,Novo preço mais baixo
513,14958912,2021-03-05,2021-03-07,Praia Grande,"Apartamento 1 quarto, 4 pessoas, 1 quadra da praia",4,1,6,1,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.64,128,187.0,466.0,Novo preço mais baixo
514,22469373,2021-03-12,2021-03-14,Vila Assuncao,Apto - Temporada - Praia Grande,6,1,6,1,Wi-Fi,Elevador,Self check-In,Vista para o mar,4.63,38,103.0,205.0,Novo preço mais baixo
515,41182612,2021-03-12,2021-03-14,Centro,GUARUJA-PITANGUEIRA-DUPLEX c/ARRUMADEIRA40mtsdoMAR,6,2,2,2,Wi-Fi,Elevador,Self check-In,Secadora,4.94,54,226.0,590.0,Raridade
516,47586746,2021-03-12,2021-03-14,Vila Auzira,Apartamento Guarujá Asturias,6,1,1,1,Self check-In,Vista para o mar,Máquina de Lavar,Ar-condicionado,5.0,4,203.0,525.0,Novo preço mais baixo
517,45740885,2021-03-12,2021-03-14,Ilha Porchat,"Ilha Porchat, com vista deslumbrante para o mar.",2,1,1,1,Wi-Fi,Vista para o mar,Cozinha,Estacionamento gratuito,5.0,12,293.0,685.0,Novo preço mais baixo
518,38546664,2021-03-12,2021-03-14,Casa de hóspedes inteira em Guarujá,Kitnet 4 com churrasqueira na Praia do Tombo,5,1,3,1,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.4,5,175.0,430.0,Novo preço mais baixo
519,45222834,2021-03-19,2021-03-21,Jardim Asturias,"Apartamento pé na areia, praia das Astúrias",5,2,3,3,Wi-Fi,Self check-In,Vista para o mar,Vista para as águas,4.86,21,528.0,1.255,Novo preço mais baixo
520,39610645,2021-03-19,2021-03-21,Santos,Estanconfor Santos c/Jacuzzi.,4,1,2,1,Wi-Fi,Secadora,Jacuzzi,Academia,4.88,81,545.0,1.21,Raridade
521,39301088,2021-03-19,2021-03-21,Casa de hóspedes inteira em Guarujá,Kitnet 6 com churrasqueira perto da praia,7,1,4,1,Wi-Fi,Máquina de Lavar,Ar-condicionado,Cozinha,4.2,5,153.0,386.0,Novo preço mais baixo
522,26770483,2021-03-12,2021-03-14,Centro,"Pitangueiras, Ap 144, Golden Beach, 2 vagas",5,2,3,1,Piscina,Estacionamento gratuito,Wi-Fi,Ar-condicionado,4.81,23,343.0,685.0,Novo preço mais baixo
523,47138268,2021-03-12,2021-03-14,Gonzaga,Flat Estanconfor Santos - uma quadra da praia,4,1,2,1,Piscina,Estacionamento gratuito,Wi-Fi,Ar-condicionado,5.0,9,263.0,605.0,Raridade
524,39610645,2021-03-12,2021-03-14,Santos,Estanconfor Santos c/Jacuzzi.,4,1,2,1,Piscina,Estacionamento gratuito,Wi-Fi,Ar-condicionado,4.88,81,545.0,1.21,Raridade
525,38351257,2021-03-19,2021-03-21,Centro,AP 65 • PÉ NA AREIA DA PRAIA DAS PITANGUEIRAS,6,2,4,2,Wi-Fi,Elevador,Self check-In,Vista para o mar,4.74,53,239.0,628.0,Raridade
526,47138268,2021-03-19,2021-03-21,Gonzaga,Flat Estanconfor Santos - uma quadra da praia,4,1,2,1,Wi-Fi,Elevador,Self check-In,Secadora,5.0,9,263.0,605.0,Raridade
